"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.16",90.9291997978993,0.96559107214648,1.26127149497239,0.765569566897743,0.443932458379545,0.72727564038962
"ENSG00000000005.6",7.35753735443989,-6.43924456036926,3.66920810854099,-1.75494122161682,0.0792693622740565,NA
"ENSG00000000419.14",443.451962863681,0.758518907039472,1.03188731024037,0.735079208273996,0.462291256087166,0.73957509830787
"ENSG00000000457.14",148.352654578145,1.15278954697226,1.17612232413127,0.980161266663957,0.327006520659429,0.640462393929746
"ENSG00000000460.17",430.880739583478,0.365041431519644,1.19741701516046,0.304857394623483,0.760474766188191,0.902048901453536
"ENSG00000000938.13",173.914343303052,-3.65453365161939,1.31385027316673,-2.78154499508609,0.0054100830593087,0.0832643700299072
"ENSG00000000971.17",440.321600144507,-2.20911302832082,1.02405606241742,-2.15721883732216,0.0309886174007838,0.194327577129725
"ENSG00000001036.14",73.4920596073681,0.0943102783166668,1.37897885050796,0.0683913885132658,0.945474076751845,0.980390096108859
"ENSG00000001084.13",390.615585129974,-0.295856027762346,1.0567777471184,-0.279960501220886,0.779507809016375,0.910556180708101
"ENSG00000001167.15",122.009775575634,-1.88988369546527,1.26265767633931,-1.49675064816017,0.134458152089319,0.421848262961243
"ENSG00000001460.18",284.205054291716,0.565456233546949,1.22365587441753,0.462103966784051,0.644006765673375,0.843820271676977
"ENSG00000001461.17",128.15238635924,-0.721782355514786,1.18689171951952,-0.608128225721365,0.54310243320739,0.787224213855899
"ENSG00000001497.18",291.693419581818,-1.73659747876181,1.07586692786225,-1.61413780253701,0.10649753935846,0.370532537503569
"ENSG00000001561.7",25.2333050959468,-3.62887609292035,1.97040192710579,-1.84169333322293,0.0655200199383356,0.278633827516209
"ENSG00000001617.12",243.296732009783,-0.177270743364094,1.23215108962148,-0.143870946393881,0.885602378386538,0.957137652432636
"ENSG00000001626.18",34.6245161651839,-3.25496591338324,2.23326276537092,-1.45749347719171,0.144980210605113,0.438107450828875
"ENSG00000001629.10",142.088960369726,-0.580381924315734,1.30470757606511,-0.444836785623732,0.656437708392797,0.851641322503721
"ENSG00000001630.18",512.361030738422,1.67405940338707,1.05963635728527,1.5798433036744,0.11414275588086,0.385417361875991
"ENSG00000001631.17",861.848396785256,0.832420748732681,1.00678126494681,0.826813904583989,0.408342547732317,0.70277980294577
"ENSG00000002016.18",51.8243385229153,-0.142941763095983,1.46430215551677,-0.0976176689745687,0.92223589370388,0.971379936581149
"ENSG00000002079.15",21.0114434282798,-2.32622356988388,2.45968483320568,-0.945740502392793,0.34428095885219,0.654383906520783
"ENSG00000002330.14",101.375012982322,1.30921507822078,1.27170704154638,1.02949424313071,0.303247483612678,0.622153015469916
"ENSG00000002549.13",151.880434232379,-2.41202635235772,1.42502490946223,-1.69262048427488,0.0905277294268388,0.33887422806321
"ENSG00000002587.10",64.957781807109,-0.561877720149083,1.94646961070345,-0.288665035949892,0.772837721415474,0.90792743655783
"ENSG00000002726.21",53.5568406208975,-2.81924844386004,1.7462638119122,-1.61444589564786,0.106430743464436,0.370532537503569
"ENSG00000002745.13",25.5579002780145,-8.23246942416012,2.55506569258594,-3.22201869331516,0.00127290830014518,0.0366873011588564
"ENSG00000002746.15",151.954362662864,-1.0226528689856,1.38285293954506,-0.739523950624887,0.459588901761233,0.737310686903729
"ENSG00000002822.16",164.739554968076,-0.733356753233669,1.18424637792963,-0.619260288146934,0.535744901140739,0.78306262908309
"ENSG00000002834.19",1366.49864752775,1.13123091627623,1.11553508990174,1.01407022200967,0.310549245881139,0.626603881709105
"ENSG00000002919.15",260.392117689108,1.94630188238839,1.07870032341203,1.80430267808956,0.071183870191815,0.293482854366653
"ENSG00000002933.9",134.529637992751,-0.579994587109731,1.24987447771725,-0.464042267803583,0.642617462934407,0.843248873694969
"ENSG00000003056.8",142.042617836103,0.318732042989,1.23476716258147,0.258131291994065,0.796305582190102,0.919034204070698
"ENSG00000003096.15",24.9729234248727,-3.87133100949373,2.03966593292093,-1.89802209617226,0.0576931713383604,0.261116143194859
